"Date","Price","Open","High","Low","Vol.","Change %"
"29-06-2023","58,629.00","58,629.00","58,629.00","58,629.00","","-0.59%"
"28-06-2023","58,975.00","58,975.00","58,975.00","58,975.00","","0.00%"
"27-06-2023","58,975.00","58,975.00","58,975.00","58,975.00","0.00K","0.17%"
"26-06-2023","58,874.00","58,874.00","58,874.00","58,874.00","","-0.21%"
"23-06-2023","59,000.00","59,000.00","59,000.00","59,000.00","","0.00%"
"22-06-2023","59,000.00","59,000.00","59,000.00","59,000.00","0.00K","-0.51%"
"21-06-2023","59,304.00","59,200.00","59,383.00","59,200.00","0.00K","-0.37%"
"20-06-2023","59,527.00","59,684.00","59,684.00","59,370.00","0.00K","-0.71%"
"19-06-2023","59,953.00","59,953.00","59,953.00","59,953.00","","0.00%"
"16-06-2023","59,953.00","59,880.00","60,000.00","59,880.00","0.00K","0.41%"
"15-06-2023","59,708.00","59,579.00","59,891.00","59,400.00","0.01K","-0.54%"
"14-06-2023","60,031.00","60,031.00","60,031.00","60,031.00","","0.00%"
"13-06-2023","60,031.00","60,246.00","60,246.00","59,906.00","0.00K","-0.59%"
"12-06-2023","60,386.00","60,386.00","60,386.00","60,386.00","","-0.18%"
"09-06-2023","60,494.00","60,494.00","60,494.00","60,494.00","","0.00%"
"08-06-2023","60,494.00","60,494.00","60,494.00","60,494.00","0.00K","-0.11%"
"07-06-2023","60,558.00","60,558.00","60,558.00","60,558.00","","0.12%"
"06-06-2023","60,488.00","60,488.00","60,488.00","60,488.00","","0.53%"
"05-06-2023","60,171.00","59,801.00","60,236.00","59,689.00","0.13K","0.39%"
"02-06-2023","59,936.00","60,634.00","60,643.00","59,916.00","0.19K","-0.97%"
"01-06-2023","60,521.00","60,300.00","60,665.00","60,030.00","0.31K","0.03%"
"31-05-2023","60,502.00","60,202.00","60,645.00","60,150.00","0.16K","0.31%"
"30-05-2023","60,318.00","59,742.00","60,380.00","59,580.00","0.20K","0.77%"
"29-05-2023","59,856.00","59,880.00","59,965.00","59,755.00","0.59K","-0.03%"
"26-05-2023","59,873.00","60,087.00","60,153.00","59,793.00","0.13K","-0.21%"
"25-05-2023","60,000.00","60,268.00","60,500.00","59,900.00","0.10K","-1.20%"
